,id,shortedPath,subgenres
26,POP27,/tracks/POP/Dave_Matthews/Dave Matthews Band - Crush (Official HD Video).mp3,1
27,POP28,/tracks/POP/Lady_Gaga/Lady Gaga - Judas (Audio) - GagaTube GagaTube.mp3,2
28,POP29,/tracks/POP/Lady_Gaga/Lady Gaga - Poker Face (Official Music Video).mp3,2
29,POP30,/tracks/POP/Lady_Gaga/Lady Gaga - Telephone ft. Beyoncé (Audio) - GagaTube GagaTube.mp3,2
30,POP31,/tracks/POP/Lady_Gaga/Lady Gaga - Alejandro - musiclover11.mp3,2
31,POP32,/tracks/POP/Lady_Gaga/Lady Gaga - You And I (Audio) - GagaTube GagaTube.mp3,2
32,POP33,/tracks/POP/Lady_Gaga/Lady Gaga - Bad Romance (Official Music Video).mp3,2
33,POP34,/tracks/POP/Lady_Gaga/Lady Gaga - Just Dance (Official Music Video) ft. Colby O'Donis.mp3,2
34,POP35,/tracks/POP/Lady_Gaga/Lady Gaga - Paparazzi (Audio) - GagaTube GagaTube.mp3,2
35,POP36,/tracks/POP/Harry_Styles/Harry Styles - Golden (Official Video).mp3,2
36,POP37,/tracks/POP/Harry_Styles/Harry Styles - Adore You (Official Video).mp3,2
37,POP38,/tracks/POP/Harry_Styles/Harry Styles - Sign of the Times (Official Video).mp3,2
38,POP39,/tracks/POP/Charli_xcx/Von dutch - Charli XCX.mp3,2
39,POP40,/tracks/POP/Charli_xcx/Charli XCX - Boom Clap [traducida_sub español] - Sweet Paradise.mp3,0
40,POP41,/tracks/POP/Charli_xcx/Charli XCX - Speed Drive (From Barbie The Album) __ Sub español + Lyrics - ANDREW BUTRON.mp3,2
41,POP42,/tracks/POP/Jason_Isbell/Jason Isbell and the 400 Unit - Relatively Easy _ Live at the Bijou Theatre 2022.mp3,3
42,POP43,/tracks/POP/Jason_Isbell/Jason Isbell and the 400 Unit - Yvette _ Live at the Bijou Theatre 2022.mp3,4
43,POP44,/tracks/POP/Jason_Isbell/Jason Isbell and the 400 Unit - White Beretta (Official Music Video).mp3,3
44,POP45,/tracks/POP/Beck/Beck - Loser (Official Music Video).mp3,0
45,POP46,"/tracks/POP/Beck/Cage The Elephant, Beck - Night Running (Official Audio).mp3",2
46,POP47,/tracks/POP/Beck/Beck - E-Pro.mp3,0
47,POP48,/tracks/POP/Ed_Sheeran/Ed Sheeran - Thinking Out Loud (Official Music Video).mp3,0
48,POP49,/tracks/POP/Ed_Sheeran/Ed Sheeran - Perfect (Official Music Video).mp3,2
49,POP50,/tracks/POP/Ed_Sheeran/Ed Sheeran - Shape of You (Official Music Video).mp3,0
50,POP51,/tracks/POP/Lewis_Capaldi/Lewis Capaldi - Hold Me While You Wait (Interlude Session).mp3,0
51,POP52,/tracks/POP/Lewis_Capaldi/Lewis Capaldi - Someone You Loved.mp3,1
52,POP53,/tracks/POP/Lewis_Capaldi/Lewis Capaldi - Bruises (Official Audio).mp3,3
53,POP54,/tracks/POP/John_Mayer/John Mayer - Your Body Is a Wonderland (Official HD Video).mp3,1
54,POP55,/tracks/POP/John_Mayer/John Mayer - New Light (Premium Content!).mp3,0
55,POP56,/tracks/POP/John_Mayer/John Mayer - Who You Love (Official Video) ft. Katy Perry.mp3,3
56,POP57,/tracks/POP/Sia/David Guetta - Titanium ft. Sia (Official Video).mp3,2
57,POP58,/tracks/POP/Sia/Sia - Chandelier (Official Video).mp3,2
58,POP59,"/tracks/POP/Sia/LSD - Thunderclouds (Official Video) ft. Sia, Diplo, Labrinth.mp3",0
59,POP60,/tracks/POP/Billie_Eilish/Billie Eilish - when the party's over (Official Music Video).mp3,3
60,POP61,/tracks/POP/Billie_Eilish/Billie Eilish - bad guy (Official Music Video).mp3,3
61,POP62,/tracks/POP/Billie_Eilish/Billie Eilish - idontwannabeyouanymore (Official Vertical Video).mp3,0
62,POP63,/tracks/POP/Lana_Del_Rey/Lana Del Rey - Brooklyn Baby (Official Audio).mp3,0
63,POP64,/tracks/POP/Lana_Del_Rey/Lana Del Rey vs Cedric Gervais 'Summertime Sadness' Remix.mp3,1
64,POP65,/tracks/POP/Lana_Del_Rey/Lana Del Rey - Video Games.mp3,4
65,POP66,"/tracks/POP/Usher/Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris.mp3",2
66,POP67,/tracks/POP/Usher/Usher - OMG ft. will.i.am.mp3,1
67,POP68,/tracks/POP/Usher/Usher - DJ Got Us Fallin' In Love (Lyrics) ft. Pitbull.mp3,2
68,POP69,/tracks/POP/H.E.R/KAYTRANADA - Intimidated (Audio) ft. H.E.R..mp3,2
69,POP70,/tracks/POP/H.E.R/H.E.R. - Damage (Official Video).mp3,0
70,POP71,/tracks/POP/H.E.R/H.E.R. - Could've Been (Audio) ft. Bryson Tiller.mp3,0
71,POP72,/tracks/POP/Lorde/Lorde - Team.mp3,0
72,POP73,/tracks/POP/Lorde/Ribs.mp3,3
73,POP74,/tracks/POP/Lorde/Lorde - Royals (US Version).mp3,4
74,POP75,/tracks/POP/Flo Rida/Flo Rida - Good Feeling (Audio).mp3,1
75,POP76,/tracks/POP/Flo Rida/Flo Rida feat. David Guetta - Club Can’t Handle Me _ Lyrics.mp3,2
76,POP77,/tracks/POP/Flo Rida/Flo Rida feat. Sia - Wild Ones _ Lyrics.mp3,2
77,POP78,/tracks/POP/Dua_Lipa/Dua Lipa - New Rules (Official Music Video).mp3,2
78,POP79,/tracks/POP/Dua_Lipa/Dua Lipa - Break My Heart (Official Video).mp3,2
79,POP80,/tracks/POP/Dua_Lipa/Dua Lipa - Don't Start Now (Official Music Video).mp3,2
80,POP81,/tracks/POP/Bruno_Mars/Bruno Mars - Locked Out Of Heaven (Official Music Video).mp3,2
81,POP82,/tracks/POP/Bruno_Mars/Bruno Mars - That’s What I Like [Official Music Video].mp3,2
82,POP83,/tracks/POP/Bruno_Mars/Bruno Mars - When I Was Your Man (Official Music Video).mp3,3
83,POP84,/tracks/POP/Years_And_Years/Olly Alexander - Desire (Gryffin Remix).mp3,2
84,POP85,/tracks/POP/Years_And_Years/Years & Years - King (Official Video).mp3,2
85,POP86,/tracks/POP/Years_And_Years/Years & Years - Shine (Official Video).mp3,2
86,POP87,/tracks/POP/Hozier/Hozier - Work Song (Official Video).mp3,3
87,POP88,/tracks/POP/Hozier/Hozier - Take Me To Church.mp3,0
88,POP89,/tracks/POP/Hozier/Hozier - Too Sweet (Official Lyric Video).mp3,2
89,POP90,/tracks/POP/Ariana_Grande/Ariana Grande - Dangerous Woman (Official Audio).mp3,0
90,POP91,/tracks/POP/Ariana_Grande/Side To Side.mp3,2
91,POP92,/tracks/POP/Ariana_Grande/Ariana Grande - Into You (Official Video).mp3,2
92,POP93,/tracks/POP/SZA/SZA - Kill Bill (Audio).mp3,0
93,POP94,/tracks/POP/SZA/SZA - Snooze (Audio).mp3,0
94,POP95,/tracks/POP/SZA/SZA - Good Days (Audio).mp3,0
95,POP96,/tracks/POP/Billie_Joe_Armstrong/That Thing You Do!.mp3,2
96,POP97,/tracks/POP/Billie_Joe_Armstrong/Police on My Back.mp3,2
97,POP98,/tracks/POP/Billie_Joe_Armstrong/Whole Wide World.mp3,2
98,POP99,/tracks/POP/BTS/BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV.mp3,2
99,POP100,/tracks/POP/BTS/BTS (방탄소년단) 'Dynamite' Official MV.mp3,2
100,POP101,/tracks/POP/BTS/BTS (방탄소년단) 'Butter' Official MV.mp3,0
101,POP102,/tracks/POP/Pitbull/Pitbull - International Love (Audio) ft. Chris Brown.mp3,1
102,POP103,/tracks/POP/Pitbull/Pitbull - Hey Baby (Drop It To The Floor) ft. T-Pain.mp3,1
103,POP104,"/tracks/POP/Pitbull/Pitbull, Ne-Yo - Time Of Our Lives (Audio).mp3",0
104,POP105,"/tracks/POP/Pitbull/Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer.mp3",1
105,POP106,"/tracks/POP/Pitbull/DJ Felli Fel - Boomerang Feat. Akon, Pitbull & Jermaine Dupri [Official Video] HD.mp3",2
106,POP107,/tracks/POP/Pitbull/Pitbull - Back in Time (from _Men In Black III_) [Official Audio].mp3,2
107,POP108,/tracks/POP/James_Blake/James Blake - Lost Angel Nights (Audio).mp3,3
108,POP109,"/tracks/POP/James_Blake/James Blake, slowthai - Funeral (Official Video).mp3",3
109,POP110,/tracks/POP/James_Blake/James Blake - Barefoot In The Park feat. Rosalía (Official Video).mp3,3
110,POP111,/tracks/POP/Eddie_Vedder/Eddie Vedder - Sleeping By Myself.mp3,4
111,POP112,"/tracks/POP/Eddie_Vedder/Olivia Vedder, Eddie Vedder, Glen Hansard - My Father's Daughter (Official Video).mp3",3
112,POP113,/tracks/POP/Eddie_Vedder/Can't Keep (Music Video) - Ukulele Songs - Eddie Vedder.mp3,0
113,POP114,/tracks/POP/Feist/Feist - 1234.mp3,4
114,POP115,/tracks/POP/Feist/Feist - My Moon My Man (Closed Captioned).mp3,4
115,POP116,/tracks/POP/Feist/Feist - I Feel It All.mp3,4
116,POP117,/tracks/POP/Rihanna/Rihanna - We Found Love (Lyrics) ft. Calvin Harris.mp3,1
117,POP118,/tracks/POP/Rihanna/Rihanna - Only Girl (In The World).mp3,2
118,POP119,/tracks/POP/Rihanna/Rihanna - Diamonds (Lyrics).mp3,0
119,POP120,/tracks/POP/Maroon_5/Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video).mp3,1
120,POP121,/tracks/POP/Maroon_5/Maroon 5 - Animals.mp3,0
121,POP122,/tracks/POP/Maroon_5/Maroon 5 - Maps (Lyric Video).mp3,1
122,POP123,/tracks/POP/Donald_Fagen/I.G.Y..mp3,3
123,POP124,/tracks/POP/Donald_Fagen/The Nightfly.mp3,1
124,POP125,/tracks/POP/Donald_Fagen/New Frontier.mp3,1
125,POP126,/tracks/POP/Britney_Spears/Britney Spears - Criminal (Audio) - Britney Jean Spears.mp3,2
126,POP127,/tracks/POP/Britney_Spears/Britney Spears - Circus (Audio) - Britney Jean Spears.mp3,2
127,POP128,/tracks/POP/Britney_Spears/Britney Spears - Till The World Ends (Audio) - Britney Jean Spears.mp3,2
128,POP129,/tracks/POP/Britney_Spears/Toxic (Official HD Video) - Britney Spears.mp3,3
129,POP130,/tracks/POP/Britney_Spears/Baby One More Time - 7clouds Rock.mp3,0
130,POP131,/tracks/POP/Britney_Spears/Britney Spears - Gimme More (Official HD Video) - BritneySpearsVEVO.mp3,2
131,POP132,/tracks/POP/Britney_Spears/Oops!...I Did It Again - Britney Spears.mp3,2
132,POP133,/tracks/POP/Britney_Spears/Britney Spears - Womanizer (Director's Cut) (Official HD Video) - BritneySpearsVEVO.mp3,2
133,POP134,/tracks/POP/John_Legend/John Legend - Love Me Now (Official Video).mp3,0
134,POP135,/tracks/POP/John_Legend/John Legend - All of Me (Official Video).mp3,1
135,POP136,/tracks/POP/John_Legend/John Legend - Tonight (Best You Ever Had) (Official Video) ft. Ludacris.mp3,0
136,POP137,"/tracks/POP/Sam_Smith/Sam Smith, Normani - Dancing With A Stranger (Official Music Video).mp3",0
137,POP138,"/tracks/POP/Sam_Smith/Calvin Harris, Sam Smith - Promises (Official Lyric Video).mp3",0
138,POP139,/tracks/POP/Sam_Smith/Sam Smith - I'm Not The Only One (Lyrics).mp3,0
139,POP140,/tracks/POP/Kesha/Ke ha - Take It Off (Official Video).mp3,1
140,POP141,/tracks/POP/Kesha/Ke$ha - Die Young (Official Video).mp3,2
141,POP142,/tracks/POP/Kesha/Pitbull - Timber (Official Video) ft. Ke$ha.mp3,2
142,POP143,/tracks/POP/Kesha/Ke$ha - Blow (Official Video).mp3,1
143,POP144,/tracks/POP/Kesha/Ke ha - TiK ToK (Official HD Video).mp3,2
144,POP145,/tracks/POP/Norah_Jones/Norah Jones - Sunrise.mp3,3
145,POP146,/tracks/POP/Norah_Jones/Norah Jones - Don't Know Why.mp3,3
146,POP147,/tracks/POP/Norah_Jones/Norah Jones - Come Away With Me.mp3,4
147,POP148,/tracks/POP/Karen_O/Karen O - Rapt (Official Video).mp3,3
148,POP149,/tracks/POP/Karen_O/Karen O - I Shall Rise (Official Video).mp3,3
149,POP150,/tracks/POP/Karen_O/Karen O - Strange Love (from _Frankenweenie_) - Karen O.mp3,4
150,POP151,/tracks/POP/Black_Eyed_Peas/Rock That Body.mp3,2
151,POP152,/tracks/POP/Black_Eyed_Peas/Meet Me Halfway.mp3,0
152,POP153,/tracks/POP/Black_Eyed_Peas/The Black Eyed Peas - The Time (Dirty Bit) (Audio).mp3,0
153,POP154,/tracks/POP/Black_Eyed_Peas/The Black Eyed Peas - Just Can't Get Enough (Official Music Video).mp3,3
154,POP155,/tracks/POP/Black_Eyed_Peas/I Gotta Feeling.mp3,0
155,POP156,/tracks/POP/Adele/Adele - Rolling in the Deep (Official Music Video).mp3,4
156,POP157,/tracks/POP/Adele/Adele - Someone Like You (Official Music Video).mp3,3
157,POP158,/tracks/POP/Adele/Adele - Easy On Me (Official Video).mp3,3
158,POP159,/tracks/POP/Taylor_Swift/Taylor Swift - Blank Space (Taylor's Version) (Lyric Video).mp3,1
159,POP160,/tracks/POP/Taylor_Swift/Taylor Swift - Bad Blood (Taylor's Version) (Lyric Video).mp3,3
160,POP161,/tracks/POP/Taylor_Swift/Taylor Swift - Style (Taylor's Version) (Lyric Video).mp3,2
161,POP162,/tracks/POP/Miley_Cyrus/Doctor (Work It Out) - Pharrell Williams & Miley Cyrus.mp3,2
162,POP163,/tracks/POP/Miley_Cyrus/Flowers - Miley Cyrus.mp3,0
163,POP164,/tracks/POP/Miley_Cyrus/Mark Ronson - Nothing Breaks Like a Heart (Lyrics) Ft. Miley Cyrus - Lazy Fox.mp3,0
164,POP165,/tracks/POP/Miley_Cyrus/We Can't Stop (Official Video) - Miley Cyrus.mp3,0
165,POP166,/tracks/POP/Miley_Cyrus/Miley Cyrus - Wrecking Ball (Official Video) - MileyCyrusVEVO.mp3,0
166,POP167,/tracks/POP/Miley_Cyrus/Miley Cyrus - Party In The U.S.A. (Official Video) - HollywoodRecordsVEVO.mp3,2
167,POP168,/tracks/POP/Miley_Cyrus/Malibu (Official Video) - Miley Cyrus.mp3,0
