,id,shortedPath,subgenres
40,ELECTRONIC41,/tracks/ELECTRONIC/Julian_Casablancas/Boombox (ft. Julian Casablancas).mp3,2
41,ELECTRONIC42,/tracks/ELECTRONIC/Julian_Casablancas/Daft Punk - Instant Crush (Video) ft. Julian Casablancas.mp3,0
42,ELECTRONIC43,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Outside [Audio] ft. Ellie Goulding.mp3,1
43,ELECTRONIC44,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris & Disciples - How Deep Is Your Love (Audio).mp3,2
44,ELECTRONIC45,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris feat. Rihanna - This Is What You Came For (Audio).mp3,2
45,ELECTRONIC46,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Feel So Close (Audio).mp3,2
46,ELECTRONIC47,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Summer (Audio).mp3,2
47,ELECTRONIC48,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Blame (Audio) ft. John Newman.mp3,3
48,ELECTRONIC49,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - My Way.mp3,0
49,ELECTRONIC50,/tracks/ELECTRONIC/Kevin_Parker/Discodeine - Aydin ft. Kevin Parker (Tame Impala).mp3,2
50,ELECTRONIC51,/tracks/ELECTRONIC/Kevin_Parker/Mark Ronson - Daffodils (Official Audio) ft. Kevin Parker.mp3,0
51,ELECTRONIC52,/tracks/ELECTRONIC/Kevin_Parker/Tame Impala - Currents Collectors Edition.mp3,0
52,ELECTRONIC53,/tracks/ELECTRONIC/Tame_Impala/Tame Impala - The Less I Know The Better (Audio).mp3,2
53,ELECTRONIC54,/tracks/ELECTRONIC/Tame_Impala/Tame Impala - Borderline (Official Audio).mp3,2
54,ELECTRONIC55,/tracks/ELECTRONIC/Tame_Impala/Tame Impala - Let It Happen (Official Audio).mp3,1
55,ELECTRONIC56,"/tracks/ELECTRONIC/Tame_Impala/ZHU, Tame Impala - My Life (Audio).mp3",3
56,ELECTRONIC57,/tracks/ELECTRONIC/Tiesto/Tiësto & KSHMR feat. Vassy - Secrets (Official Music Video).mp3,2
57,ELECTRONIC58,/tracks/ELECTRONIC/Tiesto/Tiësto - Adagio For Strings.mp3,0
58,ELECTRONIC59,/tracks/ELECTRONIC/Tiesto/Tiësto - The Business (Official Audio).mp3,0
59,ELECTRONIC60,/tracks/ELECTRONIC/Damon_Albarn/Damon Albarn - Heavy Seas Of Love (Official Video).mp3,4
60,ELECTRONIC61,/tracks/ELECTRONIC/Damon_Albarn/Damon Albarn - Everyday Robots (Official Video).mp3,4
61,ELECTRONIC62,/tracks/ELECTRONIC/Damon_Albarn/Damon Albarn - Lonely Press Play (Official Video).mp3,4
62,ELECTRONIC63,"/tracks/ELECTRONIC/Kaytranada/KAYTRANADA, Eight9FLY - Vex Oh (Audio) ft. GoldLink, Ari PenSmith.mp3",1
63,ELECTRONIC64,/tracks/ELECTRONIC/Kaytranada/KAYTRANADA - YOU'RE THE ONE (feat. SYD).mp3,0
64,ELECTRONIC65,/tracks/ELECTRONIC/Kaytranada/KAYTRANADA - 10% (Audio) ft. Kali Uchis.mp3,2
65,ELECTRONIC66,/tracks/ELECTRONIC/Fred_Again/Fred again.. & Baby Keem - leavemealone.mp3,1
66,ELECTRONIC67,/tracks/ELECTRONIC/Fred_Again/Fred again.. x Swedish House Mafia - Turn On The Lights again.. (feat. Future) [Visualiser].mp3,3
67,ELECTRONIC68,/tracks/ELECTRONIC/Fred_Again/Fred again.. feat. The Blessed Madonna - Marea (We’ve Lost Dancing) (Official Audio).mp3,0
68,ELECTRONIC69,/tracks/ELECTRONIC/Fred_Again/Fred again.. - Danielle (smile on my face) (Lyrics).mp3,3
69,ELECTRONIC70,/tracks/ELECTRONIC/Courtney_Barnett/Courtney Barnett - Avant Gardener.mp3,0
70,ELECTRONIC71,/tracks/ELECTRONIC/Courtney_Barnett/Depreston - Courtney Barnett.mp3,4
71,ELECTRONIC72,/tracks/ELECTRONIC/Courtney_Barnett/Pedestrian At Best - Courtney Barnett.mp3,2
72,ELECTRONIC73,/tracks/ELECTRONIC/Elderbrook/Elderbrook & Rudimental - Something About You [Official Audio].mp3,0
73,ELECTRONIC74,/tracks/ELECTRONIC/Elderbrook/Elderbrook - Numb.mp3,4
74,ELECTRONIC75,/tracks/ELECTRONIC/Elderbrook/Elderbrook - Talking.mp3,4
75,ELECTRONIC76,/tracks/ELECTRONIC/Robin_Schulz/Robin Schulz - Sugar (feat. Francesco Yates) (Official Lyric Video).mp3,0
76,ELECTRONIC77,/tracks/ELECTRONIC/Robin_Schulz/Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official).mp3,0
77,ELECTRONIC78,/tracks/ELECTRONIC/Robin_Schulz/Mr. Probz - Waves (Robin Schulz Remix Radio Edit).mp3,4
78,ELECTRONIC79,/tracks/ELECTRONIC/ZHU/ZHU - Generationwhy (Audio).mp3,3
79,ELECTRONIC80,/tracks/ELECTRONIC/ZHU/ZHU - Cocaine Model.mp3,4
80,ELECTRONIC81,/tracks/ELECTRONIC/ZHU/ZHU - Faded.mp3,0
81,ELECTRONIC82,/tracks/ELECTRONIC/ZHU/ZHU - In The Morning.mp3,4
82,ELECTRONIC83,/tracks/ELECTRONIC/ZHU/ZHU x Skrillex x THEY. - Working For It (Audio).mp3,0
83,ELECTRONIC84,/tracks/ELECTRONIC/ZHU/ZHU - Good Life (Audio).mp3,4
84,ELECTRONIC85,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL ●● Innerbloom (Official Video).mp3,0
85,ELECTRONIC86,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL - Sundream.mp3,0
86,ELECTRONIC87,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL - Until The Sun Needs To Rise.mp3,2
87,ELECTRONIC88,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL ●● You Were Right [Official Video].mp3,2
88,ELECTRONIC89,/tracks/ELECTRONIC/Florence_Welch/Florence + The Machine - Spectrum (Say My Name) (Calvin Harris remix).mp3,2
89,ELECTRONIC90,/tracks/ELECTRONIC/Florence_Welch/Calvin Harris Feat. Florence Welch - Sweet Nothing (Long - Extended Version) - HQ.mp3,1
90,ELECTRONIC91,/tracks/ELECTRONIC/Florence_Welch/Florence + The Machine - Dog Days Are Over (2010 Version) (Official Music Video).mp3,4
91,ELECTRONIC92,/tracks/ELECTRONIC/Anyma/Anyma & Chris Avantgarde - Eternity.mp3,3
92,ELECTRONIC93,/tracks/ELECTRONIC/Anyma/Anyma & CamelPhat - The Sign.mp3,3
93,ELECTRONIC94,/tracks/ELECTRONIC/Anyma/Anyma & Chris Avantgarde - Consciousness.mp3,4
94,ELECTRONIC95,/tracks/ELECTRONIC/Kid_Cudi/Kid Cudi - Day 'N' Nite.mp3,4
95,ELECTRONIC96,/tracks/ELECTRONIC/Kid_Cudi/Pursuit of Happiness (Steve Aoki Remix) - Kid Cudi AUDIO.mp3,0
96,ELECTRONIC97,/tracks/ELECTRONIC/Kid_Cudi/David Guetta Feat. Kid Cudi - Memories (Official Video).mp3,2
97,ELECTRONIC98,/tracks/ELECTRONIC/Kevin_De_Vries/Kevin de Vries - Dance With Me.mp3,0
98,ELECTRONIC99,/tracks/ELECTRONIC/Kevin_De_Vries/Kevin de Vries & Mau P - Metro (Extended Mix).mp3,2
99,ELECTRONIC100,/tracks/ELECTRONIC/Kevin_De_Vries/Kevin de Vries - Dragon Of Eden  ( MNC ).mp3,4
